Year,Security Incident Handled,Security Alert Issued,Advisories Published,Vulnerability Notes,Open Proxy Servers,Bot Infected Systems,Phising,Probing,Virus,Others
2017,53081,19,66,191,0,0,552,9383,9750,3315
2016,50362,12,98,325,0,10020947,757,416,13371,2671
2015,49455,16,70,316,1698,9163288,534,3673,9830,8213
2014,130338,13,69,290,2408,7728408,1122,3317,4307,3610
2013,71780,12,92,223,2224,7457024,995,3239,4160,3484
2012,22060,10,56,122,2759,6494717,887,2866,3149,2417
2011,13301,48,81,188,3294,6277936,674,1748,2765,1240
2010,10315,43,72,274,2492,6893814,508,277,2817,188
2009,8266,29,61,157,2583,3509166,374,303,596,160
2008,2565,49,76,197,2332,146891,604,265,408,148
2007,1237,44,66,163,1805,25915,392,223,358,264
2006,552,48,50,138,1837,0,339,177,19,10
